Id_item,Item,Description,Type
229,OSP0000114,COPPER CABLE 20X2X0.4,Consumible
294,TMS0003415,H80D00SCUN02 - SUPER CONTROL UNIT BOARD,Consumible
264,PWR0000178,532244-001-00 FUENTES DE ALIMENTACION DE VOLTAJE,Consumible
293,TMS0003414,H80D00GPFD22 - 16 PORTS GPON OLT INTERFACE BOARD SPARE PART,Consumible
295,TMS0003431,OSG002004 - PON TRANSCEIVER SFP 1490NM(TX)/1310NM(RX) 2.488GB/S(TX)/1.244GB/S(RX,Consumible
11,ACC0003831,SWITCH EX4200-24F,Consumible
125,LML0000197,"852-10133 ACCESSETHERLINX, TX/4 + SSFX-SM1310-SC (1310XMT/1550RCV) 20KM IMC NETW",Consumible
303,TMS0004330,"ODF DE 24 POSICIONES SC/APC COMPLETO, PANDUIT",Consumible
83,COR0000812,FWDM-NS1019  EXFO  FILTRO C-WDM 1650NM,Consumible
227,OSP0000111,FIBER OPTIC CABLE ADSS FOR 150 METER GAPS 48 THREADS,Consumible
31,ACC0006175,BE-HDD/2TBHARD BOLIDE DISK DRIVE SPECIAL VIDEO SECURITY GRADE HARD DRIVE 2 TB WI,Consumible
30,ACC0006174,BE-HDD/1TBHARD BOLIDE DISK DRIVE 1TB VIDEO SECURITY GRADE HARD DRIVE INCLUDES IN,Consumible
77,ADM0000717,"MVR9004/4GW GRABADOR MOVIL ANALOGO BOLIDE. ADVANCED 4CH MOBILE DVR WITH GPS, 4G,",Consumible
78,ADM0000718,"BV1109/MOVWD CAMARA ANALOGA BOLIDE.720P MOBILE DOME CAMERA, 1/3 1.3MP SONY CMOS,",Consumible
79,ADM0000720,MVP-PPT-DECODER DONGLE PTT BOLIDE INTERCOM DECODER,Consumible
290,TMS0002333,RW-9924-0006 RADWIN  RW STP OUTDOOR LIGHTNING PROTECTOR UNIT KIT,Consumible
151,LML0001389,MA-PWR-CORD-US MA-PWR-CORD-US,Consumible
22,ACC0005469,PATCH CORD G.652D DUPLEX 3.0MM PVC SC/APC-SC/APC 3M,Consumible
26,ACC0006155,"BN7019H.265 4MP IP CAMERA WITH POE (SMALL DOME, 3.6MM, NO AUDIO, NO SD CARD)",Consumible
27,ACC0006156,"BN7035H.265 4MP IP CAMERA WITH POE (BIG DOME, 2.8 12MM MOTORIZED VARIFOCAL LENS,",Consumible
44,ACC0006697,ARMORED PATCHCORD SC/UPC - SC/APC 2 MTS RED ITU-T G.657 B3 3MM LSZH / RISER WITH,Consumible
45,ACC0006698,ARMORED PATCHCORD SC/UPC - SC/APC 3 MTS RED ITU-T G.657 B3 3MM LSZH / RISER WITH,Consumible
47,ACC0006700,ARMORED PATCHCORD SC/UPC - SC/APC 7 MTS RED ITU-T G.657 B3 3MM LSZH / RISER WITH,Consumible
49,ACC0006703,ARMORED PATCHCORD SC/APC - SC/APC 2 MTS RED ITU-T G.657 B3 3MM LSZH / RISER WITH,Consumible
52,ACC0006706,ARMORED PATCHCORD LC/UPC - SC/APC 5 MTS RED ITU-T G.657 B3 3MM LSZH / RISER WITH,Consumible
53,ACC0006707,ARMORED PATCHCORD LC/UPC - SC/APC 6 MTS RED ITU-T G.657 B3 3MM LSZH / RISER WITH,Consumible
54,ACC0006708,ARMORED PATCHCORD LC/UPC - SC/APC 7 MTS RED ITU-T G.657 B3 3MM LSZH / RISER WITH,Consumible
251,OSP0001856,ARMORED PATCHCORD SC/APC - SC/APC 10 MTS RED ITU-T G.657 B3 3MM LSZH / RISER WIT,Consumible
252,OSP0001857,ARMORED PATCHCORD SC/APC - SC/APC 5 MTS RED ITU-T G.657 B3 3MM LSZH / RISER WITH,Consumible
253,OSP0001858,ARMORED PATCHCORD SC/UPC - LC/UPC 2 MTS RED ITU-T G.657 B3 3MM LSZH / RISER WITH,Consumible
254,OSP0001859,ARMORED PATCHCORD SC/APC - SC/UPC 6 MTS RED ITU-T G.657 B3 3MM LSZH / RISER WITH,Consumible
255,OSP0001860,ARMORED PATCHCORD SC/UPC - LC/UPC 8 MTS RED ITU-T G.657 B3 3MM LSZH / RISER WITH,Consumible
256,OSP0001862,ARMORED PATCHCORD SC/UPC - LC/UPC 1 MTS RED ITU-T G.657 B3 3MM LSZH / RISER WITH,Consumible
257,OSP0001864,ARMORED PATCHCORD SC/UPC - LC/UPC 3 MTS RED ITU-T G.657 B3 3MM LSZH / RISER WITH,Consumible
258,OSP0001865,ARMORED PATCHCORD SC/UPC - LC/UPC 4 MTS RED ITU-T G.657 B3 3MM LSZH / RISER WITH,Consumible
259,OSP0001866,ARMORED PATCHCORD SC/UPC - LC/UPC 5 MTS RED ITU-T G.657 B3 3MM LSZH / RISER WITH,Consumible
260,OSP0001867,ARMORED PATCHCORD SC/UPC - LC/UPC 6 MTS RED ITU-T G.657 B3 3MM LSZH / RISER WITH,Consumible
46,ACC0006699,ARMORED PATCHCORD SC/UPC - SC/APC 5 MTS RED ITU-T G.657 B3 3MM LSZH / RISER WITH,Consumible
250,OSP0001855,ARMORED PATCHCORD LC/UPC - SC/APC 15 MTS RED ITU-T G.657 B3 3MM LSZH / RISER WIT,Consumible
48,ACC0006701,ARMORED PATCHCORD SC/UPC - SC/APC 10 MTS RED ITU-T G.657 B3 3MM LSZH / RISER WIT,Consumible
