Id,Id_bodega,Id_car,Id_item,Transaction_date,PO,Item_cost,Quantity,Value
1,4,6,229,42307,4868,15.86733279,176,2792.650571
2,8,6,294,43374,11401,39945.16333,1,39945.16333
3,66,6,264,42036,4134,811.6805263,1,811.6805263
4,8,8,293,42366,5520,125897.3,1,125897.3
5,8,8,295,42366,5520,2633.3725,2,5266.745
6,22,8,295,42366,5520,2633.3725,1,2633.3725
7,8,11,11,42521,6366,17462.88,1,17462.88
8,28,11,11,42521,6366,17462.88,1,17462.88
9,3,12,125,43031,9016,1849.73,10,18497.3
10,59,12,125,43031,9016,1849.73,3,5549.19
11,43,13,303,42704,7140,3353.2,1,3353.2
12,30,14,83,43040,8935,3479.33625,1,3479.33625
13,32,14,83,43040,8935,3479.33625,2,6958.6725
14,21,16,227,42941,8393,7.737814829,496,3837.956155
15,31,16,227,42941,8393,7.737814829,1859,14384.59777
16,3,17,31,43040,9027,1363.85,3,4091.55
17,3,18,30,43101,9581,955.46,5,4777.3
18,3,18,77,43101,9581,5149.56,3,15448.68
19,3,18,78,43101,9581,784.05,9,7056.45
20,3,18,79,43101,9581,1109.34,2,2218.68
21,65,21,290,43040,9176,7924.2871,2,15848.5742
22,1,26,151,43282,11080,559.19125,7,3914.33875
23,16,26,22,43344,11100,13.99,2,27.98
24,8,27,294,42269,4781,39945.16333,1,39945.16333
25,8,27,294,43374,11401,39945.16333,1,39945.16333
26,3,28,26,43374,11672,762.5733333,1,762.5733333
27,3,28,27,43405,11672,762.9495,7,5340.6465
28,50,28,27,43405,11672,764.6036806,3,2293.811042
29,2,33,44,44159,15150,125.4,33,4138.2
30,2,33,45,44159,15150,133.51,5,667.55
31,2,33,47,44159,15150,166.38,5,831.9
32,2,33,49,44159,15150,127.88,11,1406.68
33,2,33,52,44159,15150,142.59,11,1568.49
34,2,33,53,44159,15150,150.84,9,1357.56
35,2,33,54,44159,15150,159.09,5,795.45
36,2,33,251,44159,15150,193.88,5,969.4
37,2,33,252,44159,15150,152.63,1,152.63
38,2,33,253,44159,15150,114.95,3,344.85
39,2,33,254,44159,15150,158.26,5,791.3
40,2,33,255,44159,15150,155.24,5,776.2
41,2,33,256,44159,15150,93.36,5,466.8
42,2,33,257,44159,15150,111.38,5,556.9
43,2,33,258,44159,15150,120.31,5,601.55
44,2,33,259,44159,15150,129.39,5,646.95
45,2,33,260,44159,15150,138.33,5,691.65
46,9,33,46,44159,15150,150.01,1,150.01
47,11,33,45,44159,15150,133.51,2,267.02
48,11,33,46,44159,15150,150.01,4,600.04
49,11,33,49,44159,15150,127.88,6,767.28
50,11,33,52,44159,15150,142.59,6,855.54
51,11,33,250,44159,15150,224.68,4,898.72
52,12,33,252,44159,15150,152.63,2,305.26
53,13,33,44,44159,15150,125.4,8,1003.2
54,13,33,45,44159,15150,133.51,6,801.06
55,13,33,46,44159,15150,150.01,2,300.02
56,13,33,48,44159,15150,191.13,1,191.13
57,13,33,52,44159,15150,142.59,4,570.36
58,13,33,56,44159,15150,183.56,6,1101.36
59,14,33,51,44159,15150,126.23,1,126.23
60,15,33,44,44159,15150,125.4,4,501.6
61,15,33,45,44159,15150,133.51,13,1735.63
62,15,33,53,44159,15150,150.84,1,150.84
63,15,33,54,44159,15150,159.09,1,159.09
64,15,33,55,44159,15150,167.34,1,167.34
65,17,33,51,44159,15150,126.23,2,252.46
66,18,33,51,44159,15150,126.23,3,378.69
67,18,33,56,44159,15150,183.56,5,917.8
68,18,33,241,44105,14816,10.6632048,23,245.2537104
69,18,33,250,44159,15150,224.68,5,1123.4
70,19,33,44,44159,15150,125.4,16,2006.4
71,19,33,46,44159,15150,150.01,8,1200.08
72,19,33,48,44159,15150,191.13,6,1146.78
73,20,33,44,44159,15150,125.4,10,1254
74,20,33,56,44159,15150,183.56,2,367.12
75,34,33,44,44159,15150,125.4,2,250.8
76,34,33,50,44159,15150,117.98,1,117.98
77,36,33,45,44159,15150,133.51,2,267.02
78,37,33,44,44159,15150,125.4,4,501.6
79,37,33,45,44159,15150,133.51,2,267.02
80,37,33,251,44159,15150,193.88,4,775.52
81,38,33,44,44159,15150,125.4,6,752.4
82,38,33,49,44159,15150,127.88,2,255.76
83,38,33,254,44159,15150,158.26,4,633.04
84,38,33,260,44159,15150,138.33,2,276.66
85,65,35,130,43392,11606,112.6666155,1,112.6666155
86,1,36,6,43556,12333,267.69,10,2676.9
87,15,36,23,43556,12208,13.36,1,13.36
88,28,36,3,43497,12175,6.44,265,1706.6
89,52,37,226,43647,12556,9.689244914,2679,25957.48712
90,1,39,302,43861,12848,124.1825573,2,248.3651146
91,27,39,301,43861,12848,4605.38,1,4605.38
92,1,40,28,43709,12713,2504.81,8,20038.48
93,1,40,29,43709,12713,3848.535,2,7697.07
94,1,40,151,43739,12863,559.19125,1,559.19125
95,1,40,167,43799,12890,35.0276555,6,210.165933
